No protocol specified
dropped categorical variable 'SEX', because it has only 1 values
[32m[I 2022-04-13 11:43:22,798][0m A new study created in memory with name: no-name-254e8165-b827-4f85-ba34-7ac6c258ede8[0m
[32m[I 2022-04-13 11:46:26,187][0m Trial 0 finished with value: -0.25 and parameters: {'loss': 'squared', 'learning_rate': 9.601762275126814e-06, 'n_estimators': 714, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.0867314001757515, 'min_impurity_decrease': 0.23803169650781417, 'max_features': 0.2927066369024008, 'subsample': 0.03387756265930235, 'dropout_rate': 0.4510978591106314, 'ccp_alpha': 2.130099317007141}. Best is trial 0 with value: -0.25.[0m
[32m[I 2022-04-13 23:57:58,282][0m Trial 349 finished with value: 0.780518811809159 and parameters: {'loss': 'coxph', 'learning_rate': 7.543182799233305e-06, 'n_estimators': 866, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3744021563399891, 'min_impurity_decrease': 0.3278677565851995, 'max_features': 0.8742587269553047, 'subsample': 0.10115712352311401, 'dropout_rate': 0.5603905980359888, 'ccp_alpha': 0.001111479406098017}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:02:26,715][0m Trial 350 finished with value: 0.7810445454992123 and parameters: {'loss': 'coxph', 'learning_rate': 7.79957383034111e-06, 'n_estimators': 869, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3742383261723954, 'min_impurity_decrease': 0.3253885940388223, 'max_features': 0.8753068497642641, 'subsample': 0.091353316078924, 'dropout_rate': 0.5677866478105027, 'ccp_alpha': 0.04761092177375589}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:07:13,287][0m Trial 351 finished with value: 0.7802810826578253 and parameters: {'loss': 'coxph', 'learning_rate': 7.99213560165929e-06, 'n_estimators': 863, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3771656178688662, 'min_impurity_decrease': 0.3253762506726463, 'max_features': 0.8785785547217942, 'subsample': 0.08983025653906898, 'dropout_rate': 0.5591281107686958, 'ccp_alpha': 0.00985080040180103}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:11:22,597][0m Trial 352 finished with value: 0.780984316966906 and parameters: {'loss': 'coxph', 'learning_rate': 7.565198639073931e-06, 'n_estimators': 863, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3761389258298829, 'min_impurity_decrease': 0.3313539298694523, 'max_features': 0.8750689346586592, 'subsample': 0.10395751325791386, 'dropout_rate': 0.573204960575261, 'ccp_alpha': 0.007528064145021093}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:15:30,363][0m Trial 353 finished with value: 0.7806005236907153 and parameters: {'loss': 'coxph', 'learning_rate': 8.510980056204043e-06, 'n_estimators': 869, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.37491088646305165, 'min_impurity_decrease': 0.3191333346963222, 'max_features': 0.8804716207447586, 'subsample': 0.10311186072083867, 'dropout_rate': 0.5617656108458144, 'ccp_alpha': 0.03344433627131956}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:19:42,564][0m Trial 354 finished with value: 0.7807604512614461 and parameters: {'loss': 'coxph', 'learning_rate': 7.706689685896979e-06, 'n_estimators': 876, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.37361091835427623, 'min_impurity_decrease': 0.32423832939857, 'max_features': 0.870103796092291, 'subsample': 0.10422285113204577, 'dropout_rate': 0.5646045651896386, 'ccp_alpha': 0.011086503241616037}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:23:29,905][0m Trial 355 finished with value: 0.7806083486941363 and parameters: {'loss': 'coxph', 'learning_rate': 7.582198938476278e-06, 'n_estimators': 876, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.37560489696824845, 'min_impurity_decrease': 0.3233571911475496, 'max_features': 0.8782017434067777, 'subsample': 0.10310251181981829, 'dropout_rate': 0.5666480536650488, 'ccp_alpha': 0.006922192701892604}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:27:17,247][0m Trial 356 finished with value: 0.7811256326303126 and parameters: {'loss': 'coxph', 'learning_rate': 7.872852978261459e-06, 'n_estimators': 875, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.37602276075879965, 'min_impurity_decrease': 0.3192922589594107, 'max_features': 0.8752184217979934, 'subsample': 0.10718474867838887, 'dropout_rate': 0.5689566166303792, 'ccp_alpha': 0.03389562659281717}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:31:10,579][0m Trial 357 finished with value: 0.7808286474683225 and parameters: {'loss': 'coxph', 'learning_rate': 8.060940625854253e-06, 'n_estimators': 877, 'criterion': 'friedman_mse', 'min_samples_split': 8, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3788591110148174, 'min_impurity_decrease': 0.3055244439124337, 'max_features': 0.8827031086607634, 'subsample': 0.10553059380293871, 'dropout_rate': 0.5756090756756834, 'ccp_alpha': 0.01415679513584159}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:35:01,761][0m Trial 358 finished with value: 0.7810076851395862 and parameters: {'loss': 'coxph', 'learning_rate': 8.013506145529173e-06, 'n_estimators': 889, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3788857062576794, 'min_impurity_decrease': 0.29762774749708387, 'max_features': 0.8826344295044255, 'subsample': 0.10920810908817415, 'dropout_rate': 0.5722363550949945, 'ccp_alpha': 0.0019027149070295624}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:38:34,495][0m Trial 359 finished with value: 0.7808971084637862 and parameters: {'loss': 'coxph', 'learning_rate': 8.27077815125338e-06, 'n_estimators': 877, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.37769125418024385, 'min_impurity_decrease': 0.31287020642087754, 'max_features': 0.8827046062389368, 'subsample': 0.10604557055575209, 'dropout_rate': 0.5746432558007012, 'ccp_alpha': 0.010427892552731643}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:42:34,316][0m Trial 360 finished with value: 0.7810003985774538 and parameters: {'loss': 'coxph', 'learning_rate': 9.984970580389382e-06, 'n_estimators': 892, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3777618368620128, 'min_impurity_decrease': 0.30245681484986026, 'max_features': 0.8832619235746229, 'subsample': 0.10921131663904265, 'dropout_rate': 0.5782912050473916, 'ccp_alpha': 0.010328967724550372}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:46:26,195][0m Trial 361 finished with value: 0.7810608311961477 and parameters: {'loss': 'coxph', 'learning_rate': 9.616485752078766e-06, 'n_estimators': 904, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.38788899717769193, 'min_impurity_decrease': 0.29460079721650095, 'max_features': 0.8929668499115774, 'subsample': 0.108582496339734, 'dropout_rate': 0.5788428402769628, 'ccp_alpha': 0.004007939517377788}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:50:04,359][0m Trial 362 finished with value: 0.7815621168568985 and parameters: {'loss': 'coxph', 'learning_rate': 9.804952484708262e-06, 'n_estimators': 912, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.38212741378979387, 'min_impurity_decrease': 0.2954869258965915, 'max_features': 0.8925279249527451, 'subsample': 0.11841836292298744, 'dropout_rate': 0.5806769180867232, 'ccp_alpha': 0.030789756076083637}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:53:32,662][0m Trial 363 finished with value: 0.7801151707464252 and parameters: {'loss': 'coxph', 'learning_rate': 1.020588032126799e-05, 'n_estimators': 919, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.38197126069005943, 'min_impurity_decrease': 0.2959618007123705, 'max_features': 0.8917535282135891, 'subsample': 0.10969443526796295, 'dropout_rate': 0.57736292688708, 'ccp_alpha': 0.08171037669718649}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 00:57:01,805][0m Trial 364 finished with value: 0.7806162126338805 and parameters: {'loss': 'coxph', 'learning_rate': 9.625417899203329e-06, 'n_estimators': 893, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3848618406464965, 'min_impurity_decrease': 0.2985646211128599, 'max_features': 0.8836550546041733, 'subsample': 0.11139264687950995, 'dropout_rate': 0.5852076533330277, 'ccp_alpha': 0.02749311895168228}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 01:00:45,732][0m Trial 365 finished with value: 0.7805204733618515 and parameters: {'loss': 'coxph', 'learning_rate': 9.34598693906634e-06, 'n_estimators': 900, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.38601640378840824, 'min_impurity_decrease': 0.2993622219880889, 'max_features': 0.8996652841192658, 'subsample': 0.11061038256536951, 'dropout_rate': 0.5845859454250675, 'ccp_alpha': 0.0033788291228190005}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 01:04:30,476][0m Trial 366 finished with value: 0.7811699302327499 and parameters: {'loss': 'coxph', 'learning_rate': 9.048870282579116e-06, 'n_estimators': 895, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3836915084822056, 'min_impurity_decrease': 0.289568331850808, 'max_features': 0.8983783999720446, 'subsample': 0.11393817157690876, 'dropout_rate': 0.5897734327829853, 'ccp_alpha': 0.0018762313909712804}. Best is trial 317 with value: 0.7815705261705512.[0m
[32m[I 2022-04-14 01:08:26,591][0m Trial 367 finished with value: 0.7817487788378487 and parameters: {'loss': 'coxph', 'learning_rate': 1.0710116710837584e-05, 'n_estimators': 901, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.38729600946779863, 'min_impurity_decrease': 0.2746031704781005, 'max_features': 0.9062154004453044, 'subsample': 0.1182130985093916, 'dropout_rate': 0.578683150678607, 'ccp_alpha': 0.007246137102934176}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:12:22,710][0m Trial 368 finished with value: 0.7811815049490793 and parameters: {'loss': 'coxph', 'learning_rate': 1.0870910794370522e-05, 'n_estimators': 920, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3855153341599293, 'min_impurity_decrease': 0.2862663201244866, 'max_features': 0.8966466283867627, 'subsample': 0.12089063741193781, 'dropout_rate': 0.5894608071804032, 'ccp_alpha': 0.005547738900602148}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:14:58,337][0m Trial 369 finished with value: -0.36628871640997795 and parameters: {'loss': 'squared', 'learning_rate': 1.1302514120435882e-05, 'n_estimators': 940, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3881688717858285, 'min_impurity_decrease': 0.28106407524302096, 'max_features': 0.9108815140833268, 'subsample': 0.1271951041727762, 'dropout_rate': 0.599956465881846, 'ccp_alpha': 0.0999582374129047}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:18:48,371][0m Trial 370 finished with value: 0.5008984165376957 and parameters: {'loss': 'coxph', 'learning_rate': 1.1546270860209518e-05, 'n_estimators': 903, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.39125396879445445, 'min_impurity_decrease': 0.2792301772427034, 'max_features': 0.8931520524520766, 'subsample': 0.118504425571896, 'dropout_rate': 0.58523546376875, 'ccp_alpha': 0.3320656412344859}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:22:56,763][0m Trial 371 finished with value: 0.7798262689628449 and parameters: {'loss': 'coxph', 'learning_rate': 9.285384061729285e-06, 'n_estimators': 949, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.36663236023724677, 'min_impurity_decrease': 0.3032347005242532, 'max_features': 0.9155278496697321, 'subsample': 0.10774174377545692, 'dropout_rate': 0.5991962418886523, 'ccp_alpha': 0.0775961464006429}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:26:51,474][0m Trial 372 finished with value: 0.7809441459574014 and parameters: {'loss': 'coxph', 'learning_rate': 1.248905231550292e-05, 'n_estimators': 899, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.38439754793379144, 'min_impurity_decrease': 0.3052741903209552, 'max_features': 0.8951783536076856, 'subsample': 0.12799583846309048, 'dropout_rate': 0.5770652350255755, 'ccp_alpha': 0.0015792118420413503}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:30:41,687][0m Trial 373 finished with value: 0.7809146115986637 and parameters: {'loss': 'coxph', 'learning_rate': 1.3488147954808658e-05, 'n_estimators': 904, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3841375236742672, 'min_impurity_decrease': 0.3033387941624624, 'max_features': 0.8880482311868252, 'subsample': 0.1275377343313715, 'dropout_rate': 0.5826790132931633, 'ccp_alpha': 0.01611287670207387}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:34:24,708][0m Trial 374 finished with value: 0.7805611289372617 and parameters: {'loss': 'coxph', 'learning_rate': 1.1729967704642109e-05, 'n_estimators': 907, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3850038542026792, 'min_impurity_decrease': 0.2906159482444472, 'max_features': 0.9050186340997957, 'subsample': 0.13394125059144832, 'dropout_rate': 0.5765035470149846, 'ccp_alpha': 0.008060813529890713}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:38:19,097][0m Trial 375 finished with value: 0.7783543433689595 and parameters: {'loss': 'coxph', 'learning_rate': 1.263689731770711e-05, 'n_estimators': 959, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3961456386784924, 'min_impurity_decrease': 0.2630795591339325, 'max_features': 0.8881548984573606, 'subsample': 0.12341907121564362, 'dropout_rate': 0.6083058930341184, 'ccp_alpha': 0.10411666399473603}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:41:30,920][0m Trial 376 finished with value: 0.5008984165376957 and parameters: {'loss': 'coxph', 'learning_rate': 9.942434882949683e-06, 'n_estimators': 903, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3859188637976438, 'min_impurity_decrease': 0.3018327044646167, 'max_features': 0.8589705112963489, 'subsample': 0.12464487186040052, 'dropout_rate': 0.5838787498044351, 'ccp_alpha': 0.31686945112695386}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:45:03,907][0m Trial 377 finished with value: 0.7772517676624859 and parameters: {'loss': 'coxph', 'learning_rate': 9.444861552803525e-06, 'n_estimators': 941, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3828896992757739, 'min_impurity_decrease': 0.2702350530403411, 'max_features': 0.918584117877071, 'subsample': 0.15417203274736213, 'dropout_rate': 0.5844328260571405, 'ccp_alpha': 0.1010111412023281}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:48:53,291][0m Trial 378 finished with value: 0.7802123250433449 and parameters: {'loss': 'coxph', 'learning_rate': 1.4156134901145265e-05, 'n_estimators': 986, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3660222949718586, 'min_impurity_decrease': 0.3021916915433569, 'max_features': 0.89428594675492, 'subsample': 0.10181190007172526, 'dropout_rate': 0.6096646413861122, 'ccp_alpha': 0.01360275698474521}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:52:13,535][0m Trial 379 finished with value: 0.7797929608672497 and parameters: {'loss': 'coxph', 'learning_rate': 8.655425549977817e-06, 'n_estimators': 887, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3918380737367519, 'min_impurity_decrease': 0.28293461160527467, 'max_features': 0.8545129687206259, 'subsample': 0.11084381571820615, 'dropout_rate': 0.5794294947872073, 'ccp_alpha': 0.09974169951386941}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:55:38,779][0m Trial 380 finished with value: 0.7784739567073633 and parameters: {'loss': 'coxph', 'learning_rate': 1.1361040698997746e-05, 'n_estimators': 914, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3812431203231561, 'min_impurity_decrease': 0.30387363464396444, 'max_features': 0.8888569840970989, 'subsample': 0.14214427571522276, 'dropout_rate': 0.5921082888090419, 'ccp_alpha': 0.09465057750046274}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 01:59:13,522][0m Trial 381 finished with value: 0.6371812073302544 and parameters: {'loss': 'coxph', 'learning_rate': 6.660772470168512e-06, 'n_estimators': 934, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3675653299348505, 'min_impurity_decrease': 0.3096067558734874, 'max_features': 0.917914701861197, 'subsample': 0.09969024819786249, 'dropout_rate': 0.6181023787426438, 'ccp_alpha': 0.3078354501853311}. Best is trial 367 with value: 0.7817487788378487.[0m
[32m[I 2022-04-14 02:03:04,214][0m Trial 382 finished with value: 0.7807663294357879 and parameters: {'loss': 'coxph', 'learning_rate': 1.35088550998777e-05, 'n_estimators': 877, 'criterion': 'friedman_mse', 'min_samples_split': 9, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.3973449517195057, 'min_impurity_decrease': 0.3437385635275181, 'max_features': 0.8753414103946269, 'subsample': 0.12409775162943101, 'dropout_rate': 0.5743363620679357, 'ccp_alpha': 0.008619556412528156}. Best is trial 367 with value: 0.7817487788378487.[0m
