No protocol specified
[32m[I 2022-04-13 11:44:06,848][0m A new study created in memory with name: no-name-0aab40b5-3eeb-420d-a579-cb603aaa6019[0m
[32m[I 2022-04-13 11:44:11,487][0m Trial 0 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.017553103748186347, 'n_estimators': 246, 'criterion': 'squared_error', 'min_samples_split': 3, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.023000238880208572, 'min_impurity_decrease': 0.22649917377918485, 'max_features': 0.2509370038727874, 'subsample': 0.5756093753196724, 'dropout_rate': 0.8385757486345945, 'ccp_alpha': 3.236731951636076}. Best is trial 0 with value: 0.65.[0m
[32m[I 2022-04-14 00:28:22,656][0m Trial 414 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0007392517594914596, 'n_estimators': 794, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0014204826739005402, 'min_impurity_decrease': 0.5114985355880012, 'max_features': 0.7814961369031755, 'subsample': 0.8754225970445423, 'dropout_rate': 0.4936868468919763, 'ccp_alpha': 0.3339609508197931}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:29:43,135][0m Trial 415 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006060677759883847, 'n_estimators': 800, 'criterion': 'absolute_error', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.03091886820777867, 'min_impurity_decrease': 0.595132275956216, 'max_features': 0.8723512910324117, 'subsample': 0.7971903226851447, 'dropout_rate': 0.5068812598193507, 'ccp_alpha': 0.16013993682896632}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:30:58,871][0m Trial 416 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0008513739012340773, 'n_estimators': 757, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.022588262740772913, 'min_impurity_decrease': 0.5814831186431221, 'max_features': 0.8153301401054935, 'subsample': 0.8371021118338576, 'dropout_rate': 0.4619177873032673, 'ccp_alpha': 2.832868946450979}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:32:01,635][0m Trial 417 finished with value: 0.8758763333256713 and parameters: {'loss': 'coxph', 'learning_rate': 0.00042861453592093216, 'n_estimators': 694, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.011570450648989723, 'min_impurity_decrease': 0.5653960889172394, 'max_features': 0.8349156560940616, 'subsample': 0.7967856595758044, 'dropout_rate': 0.488016911525581, 'ccp_alpha': 0.0029771684808456078}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:32:55,791][0m Trial 418 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0004734160327629908, 'n_estimators': 667, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.010579677470826675, 'min_impurity_decrease': 0.6185918362168737, 'max_features': 0.8653563700898103, 'subsample': 0.7925885154906767, 'dropout_rate': 0.4818948488355671, 'ccp_alpha': 3.379369088534612}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:33:52,228][0m Trial 419 finished with value: 0.8684000686487667 and parameters: {'loss': 'coxph', 'learning_rate': 0.00036211276867266956, 'n_estimators': 689, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.010306952087765026, 'min_impurity_decrease': 0.5630216929295315, 'max_features': 0.8334180583477258, 'subsample': 0.8011850547363843, 'dropout_rate': 0.45470256323302766, 'ccp_alpha': 0.09793313264920236}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:35:13,276][0m Trial 420 finished with value: 0.8274044301685995 and parameters: {'loss': 'coxph', 'learning_rate': 0.00019662460412053128, 'n_estimators': 811, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0014980579687570213, 'min_impurity_decrease': 0.579225361488563, 'max_features': 0.7992832213072728, 'subsample': 0.7839363895153992, 'dropout_rate': 0.48815639368453645, 'ccp_alpha': 0.25778380597625444}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:36:22,552][0m Trial 421 finished with value: 0.8744771681647135 and parameters: {'loss': 'coxph', 'learning_rate': 0.0005407007183972223, 'n_estimators': 717, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0237509418130969, 'min_impurity_decrease': 0.6553256743899406, 'max_features': 0.8712472504857985, 'subsample': 0.8146931673879988, 'dropout_rate': 0.4639033544293963, 'ccp_alpha': 0.005148221173406043}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:37:20,476][0m Trial 422 finished with value: 0.8555762203747905 and parameters: {'loss': 'coxph', 'learning_rate': 0.0003528326980609056, 'n_estimators': 684, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.019599972187656783, 'min_impurity_decrease': 0.6653980727269871, 'max_features': 0.8741297825740171, 'subsample': 0.7829026031302657, 'dropout_rate': 0.44695604585113574, 'ccp_alpha': 0.17137368635812636}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:37:59,189][0m Trial 423 finished with value: -0.3290041043688623 and parameters: {'loss': 'squared', 'learning_rate': 0.0005981310390944185, 'n_estimators': 640, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.010732959780867392, 'min_impurity_decrease': 0.6367924103412513, 'max_features': 0.8647080771585214, 'subsample': 0.8049277316752537, 'dropout_rate': 0.6185009857148874, 'ccp_alpha': 0.09128892494918425}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:38:58,976][0m Trial 424 finished with value: 0.8618727341787276 and parameters: {'loss': 'coxph', 'learning_rate': 0.00045193728833043496, 'n_estimators': 695, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.026850355810674385, 'min_impurity_decrease': 0.7127512593824318, 'max_features': 0.37771812567326624, 'subsample': 0.7761227699472355, 'dropout_rate': 0.5130558457946021, 'ccp_alpha': 0.11266360269239081}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:40:34,722][0m Trial 425 finished with value: 0.8748348339162133 and parameters: {'loss': 'coxph', 'learning_rate': 1.1811248024851641e-06, 'n_estimators': 802, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.016976338924896507, 'min_impurity_decrease': 0.6070013467323451, 'max_features': 0.8502125465213491, 'subsample': 0.821211918528588, 'dropout_rate': 0.45783243763203585, 'ccp_alpha': 0.006076874365236497}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:41:38,677][0m Trial 426 finished with value: 0.660872981146427 and parameters: {'loss': 'coxph', 'learning_rate': 4.393735960650883e-06, 'n_estimators': 711, 'criterion': 'friedman_mse', 'min_samples_split': 6, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0142803758197011, 'min_impurity_decrease': 0.6008416720041868, 'max_features': 0.8715211342268484, 'subsample': 0.8476748961609781, 'dropout_rate': 0.43376785055243516, 'ccp_alpha': 0.2819389283161557}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:43:13,716][0m Trial 427 finished with value: 0.8602530286849912 and parameters: {'loss': 'coxph', 'learning_rate': 5.539735223592494e-05, 'n_estimators': 816, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0012562875261003734, 'min_impurity_decrease': 0.6566150364000246, 'max_features': 0.31634533299315254, 'subsample': 0.8285564964995955, 'dropout_rate': 0.44909365015238584, 'ccp_alpha': 0.0026686345332304325}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:44:20,874][0m Trial 428 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 1.6653982630711138e-06, 'n_estimators': 723, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.016451835772779783, 'min_impurity_decrease': 0.5482000312452583, 'max_features': 0.8561292459654627, 'subsample': 0.7714917847034406, 'dropout_rate': 0.46950490367962844, 'ccp_alpha': 0.3763087600632975}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:45:10,999][0m Trial 429 finished with value: 0.8493244510581954 and parameters: {'loss': 'coxph', 'learning_rate': 0.0017480409011600775, 'n_estimators': 783, 'criterion': 'friedman_mse', 'min_samples_split': 7, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.02292138827252391, 'min_impurity_decrease': 0.6074140473036614, 'max_features': 0.8785497787205464, 'subsample': 0.8645448175332106, 'dropout_rate': 0.6898631369862762, 'ccp_alpha': 0.17858962234928022}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:46:57,793][0m Trial 430 finished with value: 0.8655336286934286 and parameters: {'loss': 'coxph', 'learning_rate': 0.001164487337290292, 'n_estimators': 831, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.012444438814620661, 'min_impurity_decrease': 0.5624385074533517, 'max_features': 0.8203168557522809, 'subsample': 0.7949782174519705, 'dropout_rate': 0.378434643813836, 'ccp_alpha': 0.09593359915030727}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:47:04,185][0m Trial 431 finished with value: 0.8708829176898523 and parameters: {'loss': 'coxph', 'learning_rate': 0.0016134929694078218, 'n_estimators': 225, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.02557794461110051, 'min_impurity_decrease': 0.49261293009844453, 'max_features': 0.8474946845919118, 'subsample': 0.821508860393942, 'dropout_rate': 0.4611853139673582, 'ccp_alpha': 0.0023303315749581676}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:48:12,042][0m Trial 432 finished with value: 0.8434373669114568 and parameters: {'loss': 'coxph', 'learning_rate': 0.0005132903022240056, 'n_estimators': 762, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.035149855808755, 'min_impurity_decrease': 0.6688830562648287, 'max_features': 0.8072007410952434, 'subsample': 0.8914277084863981, 'dropout_rate': 0.4221876553004988, 'ccp_alpha': 0.19168712909554728}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:49:54,308][0m Trial 433 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0018492049813571077, 'n_estimators': 877, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.010048322292058189, 'min_impurity_decrease': 0.6363163734785469, 'max_features': 0.8742284536645595, 'subsample': 0.7657336456966514, 'dropout_rate': 0.35758851066586983, 'ccp_alpha': 2.0123489301863655}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:50:04,176][0m Trial 434 finished with value: 0.8667574458688085 and parameters: {'loss': 'coxph', 'learning_rate': 0.0011258420627924626, 'n_estimators': 306, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0209406391196331, 'min_impurity_decrease': 0.5787753653899383, 'max_features': 0.7765162854542437, 'subsample': 0.8583060874832773, 'dropout_rate': 0.5684149923882335, 'ccp_alpha': 0.11026664928898401}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:51:16,162][0m Trial 435 finished with value: 0.8087368419580742 and parameters: {'loss': 'coxph', 'learning_rate': 0.0014524742495969343, 'n_estimators': 807, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.03597478336627747, 'min_impurity_decrease': 0.5199887272406574, 'max_features': 0.8489722279396033, 'subsample': 0.8144277133804361, 'dropout_rate': 0.4977723908985122, 'ccp_alpha': 0.25047535544398797}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:52:18,230][0m Trial 436 finished with value: 0.8674256106647912 and parameters: {'loss': 'coxph', 'learning_rate': 0.000947353945973075, 'n_estimators': 722, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.0010486489353853988, 'min_impurity_decrease': 0.6173986448275846, 'max_features': 0.8317931993904263, 'subsample': 0.7976529850513894, 'dropout_rate': 0.4334151307867305, 'ccp_alpha': 0.09413651323908934}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:53:30,121][0m Trial 437 finished with value: 0.8663118547485581 and parameters: {'loss': 'coxph', 'learning_rate': 0.00039125638056210584, 'n_estimators': 823, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.02527212016598052, 'min_impurity_decrease': 0.5696917884445521, 'max_features': 0.8589345681322159, 'subsample': 0.7455890018473686, 'dropout_rate': 0.5365613181242683, 'ccp_alpha': 0.10492078150794246}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:53:49,712][0m Trial 438 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 1.292065501652468e-06, 'n_estimators': 868, 'criterion': 'absolute_error', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.018501767026168594, 'min_impurity_decrease': 0.5044684642903929, 'max_features': 0.8143145322553237, 'subsample': 0.8281967443530263, 'dropout_rate': 0.9700745014344545, 'ccp_alpha': 0.19226791764439405}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:54:40,285][0m Trial 439 finished with value: 0.8674962877324482 and parameters: {'loss': 'coxph', 'learning_rate': 0.00013631781176394155, 'n_estimators': 658, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.03767074235135974, 'min_impurity_decrease': 0.46734799011511907, 'max_features': 0.8825499241067188, 'subsample': 0.7684705497328079, 'dropout_rate': 0.4662932204976709, 'ccp_alpha': 0.08156860424635523}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:55:55,946][0m Trial 440 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0018803595129983648, 'n_estimators': 770, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 2, 'min_weight_fraction_leaf': 0.010546372188401248, 'min_impurity_decrease': 0.5448249162184573, 'max_features': 0.7921201402437529, 'subsample': 0.7886499044849881, 'dropout_rate': 0.4100907487078768, 'ccp_alpha': 0.49988560679830407}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:57:33,187][0m Trial 441 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.00029494892557877146, 'n_estimators': 821, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.35150893835714225, 'min_impurity_decrease': 0.4351878815577371, 'max_features': 0.010576875800310304, 'subsample': 0.8464198318474148, 'dropout_rate': 0.3743235222361202, 'ccp_alpha': 0.26012921743882655}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 00:58:38,778][0m Trial 442 finished with value: -0.3693864890656467 and parameters: {'loss': 'squared', 'learning_rate': 0.0006238278464409541, 'n_estimators': 785, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.024945402820857845, 'min_impurity_decrease': 0.5525179435104511, 'max_features': 0.8290568404747213, 'subsample': 0.7421767949089528, 'dropout_rate': 0.5175108312105424, 'ccp_alpha': 0.08480960149430773}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 01:00:05,053][0m Trial 443 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0012918245136918425, 'n_estimators': 865, 'criterion': 'friedman_mse', 'min_samples_split': 5, 'min_samples_leaf': 3, 'min_weight_fraction_leaf': 0.32146235415998237, 'min_impurity_decrease': 0.5937770312469207, 'max_features': 0.8459299145393855, 'subsample': 0.7639656684630707, 'dropout_rate': 0.48740340389368797, 'ccp_alpha': 2.490842222688186}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 01:01:23,479][0m Trial 444 finished with value: 0.8752273114110338 and parameters: {'loss': 'coxph', 'learning_rate': 0.0010043087271713342, 'n_estimators': 743, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.031730154482689114, 'min_impurity_decrease': 0.6467518622557707, 'max_features': 0.8673813999387219, 'subsample': 0.8133962081167945, 'dropout_rate': 0.44424228717285835, 'ccp_alpha': 0.0012419835621680399}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 01:02:32,674][0m Trial 445 finished with value: 0.65 and parameters: {'loss': 'coxph', 'learning_rate': 0.0009893520697652294, 'n_estimators': 706, 'criterion': 'squared_error', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.031187936859635862, 'min_impurity_decrease': 0.639981180693688, 'max_features': 0.856749574371976, 'subsample': 0.8190977048927977, 'dropout_rate': 0.4435558624487733, 'ccp_alpha': 0.011800480613864782}. Best is trial 379 with value: 0.878361797817203.[0m
[32m[I 2022-04-14 01:03:41,156][0m Trial 446 finished with value: 0.8530460955167889 and parameters: {'loss': 'coxph', 'learning_rate': 0.0006611215388065002, 'n_estimators': 730, 'criterion': 'friedman_mse', 'min_samples_split': 4, 'min_samples_leaf': 4, 'min_weight_fraction_leaf': 0.013792554530124674, 'min_impurity_decrease': 0.6097503656443025, 'max_features': 0.806385642912911, 'subsample': 0.8347987635212264, 'dropout_rate': 0.4588645319254174, 'ccp_alpha': 0.18618821820953532}. Best is trial 379 with value: 0.878361797817203.[0m
